,class,tweetid,unprocessed_text
7156,m,1200795415031025664,"Ooto oro koro faaa!!!! What's the percentage of tramadol,benilyn and gegemu takers in Nigeria;youth or adults."
6901,c,1200742483350687745,woke up from a xanax sleep and all i remember is i have a boyfriend
1501,m,1199096053158547458,"_U Nah, I use regular ones just like nicotine, heroine, morphine and suddenly I'm a fiend"
12598,m,1202330620258594822,_U & this is for if you wanna be on adderall lol.
6227,m,1200563974544273413,_U me dont like xanax :p _U
12016,m,1202201165200539649,is that drunk _U or triple xanax ramona?  it's pretty tough to tell #suculantchicken #way2much #winebreathapology #rhony
6834,m,1200719369313177601,me:excuse me but is that guy holding kratom? police officer: no its morphine and heroin me: oh thank god!!!! #iamkratom   #keepkratomlegal
4173,c,1199911509398360064,"coming up this week: seroquel is notorious for two things - making you sleep until next tuesday, and leaving you a hangover.  lovely."
5144,m,1200280128766586880,spent my saturday morning fighting off methadone patients with a pollypocket
9617,c,1201493451881230341,just woke up. oxycodone had me too slump lol my mouth dont hurt nearly as bad as it did a couple hours ago
4613,c,1200003442472820736,Where is my alprazolam
7564,c,1200906154546741248,_U I take meds for nerve pain & restless leg syndrome brought on by Fibromyalgia. Neurontin is the wonder drug for nerve pain.
7892,c,1200983638797639680,can't wait for this xanax to kick in fuck!!!
9335,m,1201429621411110913,bagel bites  xanax  emperor's new groove
8380,a,1201099334286299136,"Reader, it’s 7:30 on Friday night. I got home an hour ago. I took a bath and a Mexican Valium and got into bed. It’s been a hell of a week.  Mother’s Day approaches."
5462,c,1200379850093137920,My anxiety is through the roof rn someone send Xanax pls😩
11970,c,1202188044310372354,Tramadol is a great painkiller
12987,a,1202466507558674432,I wish I'd never given away that adderall I'm so fckin sick of being able to think of nothing but food & the sudafed isn t helping at all
9114,c,1201377269853433856,_U Where you on long term high dose suboxone Film? How far down did you taper to before the Suboxone Listerine elixir? I read even dropping from 24mg to 22mg could be tricky- but gets worse as taper down progresses.
9150,a,1201381094878306305,i think 25 xanax bars should do the trick
1482,c,1199085665079775234,ativan... thank u
6572,m,1200658300280418304,stop lying about paracetamol.  it works.  stay off the diazepam and lorazepam and alprazolam.  try paracetamol. a high enough iv dose works.
9880,m,1201676348202344449,_U not sure what you do for meds for your bud but in canada they now let us use tramadol on our pooches.
262,c,1198308622532595712,"But I feel like I failed somehow and I wish I could stop feeling this way. Before Xanax I couldn't sleep. Literally, I'd be up most of the night sweating, hyperventilating, my heart beating so hard it HURT, nauseous and even vomiting. It was unbearable"
2597,m,1199494155954720769,"if you ever leave me bby, leave ur morphine at my door"
10008,c,1201711429985951744,"I hateee toothaches, and I hate the way Hydrocodone makes me feel..😣"
1433,c,1199080869820022789,honest to god i've taken more Ativan in a week than I have in the past 6 months.
8015,c,1201017992286482432,"me next time i actually need painkiller: ""i'm allergic to codeine and vicodin""  doctor, probably: ""suuuuuuuuuuuure"""
3103,a,1199608184824045568,i’m having such a bad mental health moment at work i have 0 ideas on what to do about it other than take an unhealthy amount of ativan
1007,c,1199003081536614402,why is it that every time i need a refill for my adderall this doctor is out of town?! fuck!
1945,c,1199177351269146624,_U I used to take diazepam & oramorph before MRA for that reason!
10750,m,1201879193514102784,"if your chf pt requires opioid pain management, remember fentanyl &gt; morphine (because no histamine release)  #medicationmonday #ems"
803,m,1198795732364513282,_U _U _U Probably smells like smut films and Xanax. What a kitchy hellhole. I'd rather sleep under a bridge.
2651,m,1199508152120684547,_U yeah it's crap when it turns out like that :( just have to get some methadone chatting on here!
9178,m,1201384092056670208,"just now found out yall like to pop tramadol, meanwhile i’m staring @ the bottle i have from my fucking accident"
8982,m,1201341596744245248,_U I've never been to a concert where I don't have an assigned seat like I would need some Xanax 😅😂😂😂
5218,m,1200296558970978304,Ye situation confusing. Bc he got fat but we don’t know if it due to pills he on or he off. Bc u gain weight both ways. When u on due to constipation n off bc u get ur hunger back. 🤷🏻‍♂️or even depression pills make u gain weight or suboxon.. 😡 tell us Ye!
960,c,1198902120533155840,diazepam has done it's job but i was so chilled fairly sure i just waffled and repeated myself lol #whatadiv
3491,m,1199729737788272640,_U quick somebody get me a valium
4704,a,1200021396119834624,_U ugh we gotta get high together like on xanax and weed 😈😴😂
4081,m,1199878492101455873,"50% of the online druggy community is obsessed with #Xanax (a.k.a. #Alprazolam or Alzam). 51% of the online druggy community is obsessed with #Restoril (a.k.a. #Temazepam or Normison). I fall into the latter. Yes, we’re all too zoned out to handle basic mathematics. ☕️"
5544,m,1200396695051341824,_U Idk if that’s true den did lil peep shit out straight Xanax
1936,c,1199176335802982400,the pharmacy fucked up my seroquel script. they filled the old one (lower dosage) as opposed to the most recent one. panic. #spoonieproblems
260,m,1198308423470845953,have projectile vomit?you probably have depression.this causes bellybutton growth.try abilify
12477,u,1202305070475423744,_U Happy music actually. Lyrica se itna fark nahi parrta.
6898,c,1200733673022246913,"no mattr what, xanax & the cast of 30 rock will always b there for me & that's better than any 'relationship' my ex will evr have! lemon out"
881,m,1198850648747499520,"“why don’t you drink your juices anymore?” “too expensive” “but if they help you..” “girl.. that’s expensive, a xanax is free” lmAOOO WHAT"
13015,a,1202478142394425345,got my hommies oxycottin n xannybar beside me
8489,m,1201123794670235653,_U when u have to take adderall in 9th grade 💁🏻
7302,m,1200831521340436480,_U _U _U _U _U _U _U _U #Khan looks like a #funeraldirector on #Valium..just like his actions and results as #London'sMayor. Time 2 Go #Khant!@!!
3215,m,1199629072164380672,i swear i only get scheduled to work on nights that i have so much to do 😊😊😊😊 where's the xanax
5628,a,1200418518023446528,Do you ever abuse klonopin and want to lay on the cold ..sidewalk...like i just wanna lay there and nap
12001,u,1202199720808108032,1:17pm Thursday by Morphine from The Best of Morphine 1992-1995
4569,m,1199990467129204736,_U sister just told her to take a xanax
10610,m,1201851551565914112,kava tea is like having diazepam and one little drink together
7718,a,1200943731060416513,_U _U _U _U _U _U _U _U _U _U _U _U _U _U Dearest Athena! Myself and Zola are coming over to your house with a big box of Adderall and a nice Syrah. That’ll keep you sitting in one place long enough for you to recognize the magnificence of this cinematic masterpiece.
12915,c,1202453909102612480,this adderall is giving me life right now🙌
6628,m,1200673229288935426,"If all humans were just born on adderall like I️t was a legit chemical in our brain, I️ think the world would be a lot more clean, efficient, and not so damn lazy lmao"
7830,m,1200964962614689792,"hydrocodone, fentanyl, oxycodone don't show on d.o.t. drug test _U _U _U _U _U _U"
5895,c,1200487338654257152,feeling like ill live. on morphine and hydrocodone watching comedy central
9905,m,1201687819393130496,13 going on xanax
12869,u,1202440674848710660,Why is Lyrica even telling Hazel this? LOL She be sabotaging folks. #LHHH
4645,a,1200007039692488704,"me, someone who is desperately in need of a barbiturate: *takes adderall*"
2992,m,1199570664073678849,_U I need Dutch Valium and sushi
2842,c,1199545662280482816,"i am not a fan of everyday usage of benzos but man, ativan made my brain shut the fuck up"
1726,m,1199136685667340290,did you know that lyrica (for phybromyalsia) can cause suicidal thoughts and actions? yep that's the opening statement in the commercial!
6321,m,1200583258091786241,the program i'm watching is predominantly focussed on pregabalin which are being prescribed for anxiety
2600,m,1199502854605725697,FEU -ever leave me baby leave some morphine at my door CEU-lord in sorrow and in happiness UST-o kong magpaliwanag sayo ngunit di kinakausap
2768,m,1199529500859666432,Stop Tramadol Abuse  ————-  Tramadol can cause sudden secession of breathing and death.   # StopTramadolAbuse
12843,a,1202437371263901696,poppin valium like m&ms bc i have orals and practicals this week
3211,m,1199628690596016129,"this adderall actually has the word ""adderall"" printed on it"
7869,m,1200980932825698305,"If Dolphins are so fucking smart, then how come they didn't invent Adderall?"
12885,c,1202442344181764096,Tramadol is supposed to solve all my problems? I fucking hate doctors man
4145,a,1199908364861530113,should i take hydrocodone so i can sleep
3488,a,1199729348586221573,adderall beer and bud
3769,m,1199785043885010945,worried _U is gonna have to go on methadone popsicles
1436,m,1199081133016793088,"Lil kid need his adderall , going crazy on camera"
9594,c,1201482460216860672,_U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U _U I didn't know I could take morphine i thought I was allergic to it but they gave it to me for my heart surgery and I survived
9278,c,1201407534441127936,i got a morphine shot 2 hours ago and didn't sleep last night how am i still awake
925,c,1198880827104464896,"I just hid two hydrocodone because this house is like a damn nursing home, watching my prescriptions."
10011,c,1201711727320145920,_U I was prescribed seroquel for sleep for many years & I once woke up standing in line at the corner store that i DROVE TO to get SNACKS with NO MEMORY OF DOING SO & also it made me spontaneously lactate at work???????? I am v happy to be rid of it!!!!!
759,m,1198746114540916736,"_U _U Nah. He likes to mix it with that hydrocodone his nurse was supposed to ""dispose of"""
10303,m,1201776688876658688,"suboxone does not treat addiction.  it ""treats"" withdrawal."
5936,m,1218822936204922880,"@droppinlsd ambiens, vyvanse and xanax are the shit"
1753,c,1199139692572266496,i will be taking all of the gummies over the next five days bc the pain is outside of the gabapentin
6818,m,1200717913222795265,st george hosts the methadone sink in jilt destroy bike stock: lcomqjlq
3588,m,1199748636315389953,"hydrocodone at home, debating"
1036,m,1199005910540128262,w/the side effects of lyrica y would anybody wanna take that?  u better off being sick.
4368,m,1199952894033907712,_U _U Gruden is adderall in human form
10021,m,1201712856858804225,"aderall vs meth:meth has an extra methyl group, making it pass through the blood barrier to your brain quicker and in turn create more damage. Also, meth is composed of other harmful chemicals that you would never find in an adderall pill. Know ya facts."
7618,m,1200920101316378624,Xanax: girl of the 21st century
3591,m,1199748937667796992,_U _U i had to give that number to my doctor to prove him wrong lol i know more about suboxone then my doctor ughhh!
11716,c,1202127967356440577,cavs lose tonight and i'm replacing this prescription of oxycodone with an iv of hennessy.
1752,m,1199139603510415360,"If a Dr prescribed me Suboxene for pain he would soon be standing with his right hand in the air. Medical Professionals are STILL dictated by their professional licensing laws. Federal and State are separate, probably why most are packing up..."
7726,u,1200944544755437569,Lyrica got beside herself. Where's your own hit.  #LHHH #LoveAndHipHopHollywood
8627,m,1201159472107917314,Amazing what a little Xanax will do for someone 😂👌
2919,c,1199562665355599872,_U i take gabapentin for nerve pain. not sure you have that there but maybe ask about it or research it and see if that could help?
6778,m,1200701121175728128,_U _U but we also subsidize valium and amphetimines. why isn't there more abuse of those. why mainly opioids?
10105,m,1201730098535247877,_U lorazepam sure fucked up
9969,m,1201699092671414272,kim needs to take a xanax and chill out
8909,a,1201333875605200896,"-               morphine, dilaudid & t3's.....  one of them shits better work for me"
10329,c,1201786846407254017,it's been six minutes since i said i missed taking adderall and i still haven't gotten on task.
4997,c,1200230644800016384,idk how ya'll be taking oxycodone as a drug.  i only take half of the pill and i feel like i have fucking dyslexia.😂😂😂
10398,m,1201794455789035520,"_U _U _U yeah, i hear going off your methadone can be a bitch.."
7605,c,1200918682219794433,_U _U _U _U Bummed I missed it. Took xanax last nite and was out early
11454,c,1202065751722659841,anyway i took a valium today and i recommend it lmao
221,m,1198305064974200833,_U sorry to hear that! is morphine pump automatic or can you actuate it?
6352,a,1200591034582999040,adderall got me so fucked up that i updated my work history on facebook.
1509,c,1199096874692677634,setting my alarm... i'm having my vyvanse so i can wake right up away.. i better make this review in the morning !! 😪
7538,m,1200898933305856001,"People should learn very basic risk mitigation.  For instance, drink more coffee and don’t do adderall, it’s super illegal and very dangerous... if you want to do drugs 1. Don’t sell them. 2. Don’t have too much at one time.  This should be simple stuff..."
11904,m,1202176945611558912,It's like me  'identifying' as a Vulcan and expecting to get pointy ear surgery on the NHS - I would either be asked 'are you having a laugh? ' or else put on a waiting list for some therapy & given lorazepam or something to help with my delusions. But say 'I feel I am a woman..'
7942,m,1200997514377388032,_U I was taking care of a couple ex-NICU grads in the PICU recently who had been started on seroquel and no one could really explain it to me. Would love to learn more about this topic!!
9207,u,1201395176587042816,"I LOVE Don’t Take It Personal-Lyrica, got it on my iPod Touch & iPhone...catching up #LHHH"
12596,m,1202330467158110215,"_U _U _U Well it fits I responded to a tweet that he made and just stated the facts, he told me it was F’ing June and I should take a Valium, I was pretty polite... he really takes twitter a little too seriously..."
4786,c,1200096216228519936,my mom's in town. out of nowhere. so i'm gonna take an ativan and go eat with her. pray for me y'all.
10066,c,1201717671873646592,i have to delete lots of my tweets when my adderall wares off.
8025,a,1201018942824861696,_U those are extra special diazepam cough drops!
9140,m,1201380056704192512,crazy how adderall really works 😭
2685,c,1199512263654354944,did i take my vyvanse or not?????? i want french fries & to pay someone to do this essay while i watch them and paint my nails
12313,c,1202275414099537920,or not the morphine is kicking in
8134,a,1201039486521663489,i'm so very glad i have some sandoz adderall leftover. it doesn't give me what the old cvs teva adderall did but i'm not gonna complain.
405,m,1198461150360412161,_U _U _U _U Lol. Morphine in a cup please.
3040,m,1199592913363243009,"_U Also, Goering, Hitler’s third in command was always high on morphine. Full dope Scene on in Nazi Germany."
12272,m,1202254741050408960,_U xanax is fucking stupid.
1805,m,1199153709118300162,_U ryan needs to get off Suboxon and use KRATOM.
6766,m,1200699518389501952,90 percent of defective ' s pop adderall that's classic
8170,a,1201047858461450240,I need that fucking morphine.
12748,m,1202366986287820801,_U better find you some adderall or something 😂
7898,m,1200984290865090561,i need a xanax because rallou
4095,a,1199881088631484417,xanax i need four white ones
2823,m,1199543911326330882,steps like no one told me  so i walked didn't feel welcome and didn't really know how i got there rosie knew i was upset gave me a valium
5086,m,1200264339510431744,_U _U i see how he grits his teeth he might be taking adderall amphetamine salts.for mental sharpness. he will lose🏛
1894,m,1199163337105383424,new fun fall college idea: pumpkin spice adderall
8843,c,1201314359902912512,"_U I took a Xanax for the first time, I'm not sure I'm awake yet 🤔"
11958,m,1202186778230345729,this morning smells like fruit loops and vyvanse
11580,c,1202092013346263040,Survived being beaten by my dad and uncle because of weed but i got a free shot of morphine.
474,m,1198467318906531840,_U for the adderall
13080,m,1202484963024740352,I think I should be prescribed to Xanax.
7428,m,1200878324807061505,like what is your problem do you need an ativan or something OR DO YOU JUST REALLY NEED ATTN
5756,m,1200445293101244416,"_U Alcohol is allowed in the south, yet people take codeine, tramadol, hemp etc. Why didn't you say it's because Alcohol is banned here?"
10096,a,1201720713419350016,when you have such a high tolerance for Xanax that 3 bars doesn’t do shit 😩 I hate anxiety
5374,a,1200351071148892160,i’m aboutta get a yerba mate and take an adderall so i can do this homework yeehaw
2479,m,1199282886282817538,The Twin Peaks theme is my Valium
5101,m,1200274492393742337,"#rhcinpg #opioid #addiction risk factors opioid naive, prescription longer than 5 days, tramadol"
4213,u,1199924134626639872,"reporting harassment online n offline (morphine, stalking, tracking thru GPS) is vital #LegalRoundtables _U"
4330,a,1199948834572578817,our school is laced with idiots like our xanax are laced with heroin
12532,c,1202319630406213635,"this is gonna be my first year in school without adderall 😓 y’all, pray for me"
4314,m,1199947107135819776,"_U _U All they have to do is give them a rx of lyrica, chantix or one of the other psychotropics.."
2830,c,1199544417121636352,Xanax is getting me through this speech by 45.
10888,a,1201914492730392581,"_U _U _U no, except now i bang a load of valium up me arsehole for the comedown"
217,c,1198304721192341504,"last night's medication: quetiapine, lamotrigine, zolpidem, lorazepam, alprozolam over the weekend: tramadol"
11348,c,1202046259210719232,honestly i am just so thankful for marijuana and all of its benefits. thank god there is something that helps my horrible horrible anxiety that is natural and not Xanax. I will never take another pill for my anxiety again.
9809,c,1201535399677644803,_U _U I find exercise helps best just walking my dog with the weather getting warmer it does help. They had me on Gabapentin but it was messing up my memory so I took myself off of it.
6938,a,1200746085599322112,These niggas gave me morphine on top of drinkin. They’re tryin to kill me
4497,c,1199974301761462272,when u can't sleep bc your adderall got u up like a light bulb
10767,m,1201881031080591361,_U He was popping Xanax in his Instagram right before.
286,m,1198310559449538561,_U it's awful. even if we can take her in cabin i think i'll see if vets can do cat-appropriate doses of valium or smth to help
8474,m,1201122021469503488,Xanax all colors ... Tap In
6295,u,1200571795012816899,Lyrica Is Kinda Nice 👀 Is Her Music On Apple Music Or Does A1 Still Have Her On Sound Cloud 👀 ?
9080,m,1201365009483358210,"which meant an ambulance, morphine and gas & air! finally home with meds increase and feeling like i wasted 6 hours! 😑"
5769,c,1200446666677075970,_U i’ve been off my seroquel for like 2 months and i can sleep maybe 2 hrs at a time this shit sucks
3123,a,1199610769098326017,restoril (a form of xanax) is awesome. feeling sleepy and high. so going to sleep well...
11552,c,1202088871275769856,_U yeah i was on a lot of morphine for a couple days but asked to come off bc once it wore off it was like hell.
7049,m,1200771150948765697,_U tramadol is quite dangerous be careful
4130,a,1199893317594615809,"When people say to me ""you need a xanax"" like umm yeah that would help u got one ???? #stressed"
4907,m,1200141399611625472,4. find patients willing to take suboxone (which prevents you from getting high in addition to reducing cravings)...
12034,m,1202203254467256320,_U Illegal knockoff Xanax that isn't in the prescription supply chain is contaminated with fentanyl.😬  Pfizer has a very aggressive brand protection scheme.
12103,a,1202223586154569729,2 clonazepam and a shot what could go wrong?
5345,m,1200344987814289408,"_U i had extreme agitation, suicidal thoughts, as soon as i saw ativan in the article, i was look, oooh, bad drug for some"
1272,m,1199047334065258496,safe to say were are all gonna need a xanax or two for talladega #nascar
2826,c,1199544136468238336,"Well today sure is a horrible anxiety day. Trying to send out some emails and get some work done anyway! Thank you, xanax. 💪✨"
8108,u,1201036624127242240,lyrica is my company tonight
5781,m,1200447963677560833,_U Exactly the type of methods that Arthur Sackler was a master at employing and later used by his brothers/nephew to push OxyContin - the 'safe' replacement for morphine but which actually turned out to be much stronger - and thus create the opioid epidemic seen today!
10980,c,1201932694533394433,dying from withdraw come on i need a min of 12 hours to take my scripted suboxone god i feel so sick ima die
375,m,1198458437220343809,Vegas I would consider his drug abuse Valium habit
13155,c,1202505839526977536,First night of Zyprexa. 🤞🤞🤞
1657,c,1199120788135333888,In enough pain to feel super sick. Hoping some food will help quell it a bit. Then to decide if its going to be a tramadol night...
4230,c,1199929647737327617,_U congratulations on the new job! new drug isn't pregabalin is it? great drug but does take a while to get used too.
9503,m,1201468370782216192,one adderall isn't going to save your grade
11027,c,1201950149980897280,Just washed Clonazepam down with Mountain Dew. Not sure I’m doing this right.
3191,a,1199617901776572417,i literally just dropped so many adderall beads all over myself and the bed and wanted to cry instantly
7941,m,1200997433817341952,#DrJackie on point about that Ativan! Amen! #Married2Med
854,m,1198831380236525568,so far on this flight my mom has had a xanax and two bloody mary's ...
5608,c,1200416076720492544,"i vaguely remember typing this somewhere in the 30 min window between taking a xanax on a very empty stomach and passing out cold. my fingers were slowly, laboriously hitting the keyboard and they werent sure why"
7683,c,1200927248364294144,_U i think for about 2 years. so thankful that lyrica works for me because it was unbearable. do you take anything for it?
9837,m,1201671294892281857,gnarly radical on the block i'm magical see me on your college campus baggy full of adderall
3795,m,1199788017290022913,stomps off to the office to get his lunchtime dose of dilantin and klonopin hoping that no one ever asks about it.
7273,m,1200819944805588993,"“_U: ""_U: “_U: ""_U: “_U: ""_U: does adderall make you poop?""”""”""”"
10307,m,1201777002887499776,We should Free The Youth So Say Ugo Take Tramadol den Weed?? 😊😊😊  Anka ye gyimie paaa😂😂😂💔
10272,c,1201764946528395264,vyvanse has my back muscles tightening up and i hate it.
46,c,1198527681060655104,"vaporizer on, diffuser chock full of lavender oil, seroquel taken, bipolar? Gone"
6502,a,1200650440389648384,"_U wish i had younger energy, even with vyvanse and adderral i get too tired to do homework at the end of some days"
8495,c,1201124493281964043,Xanax withdraws were by far the worst but this nicotine withdraw is asssssssss
4383,c,1199954355098660866,Another shot of morphine.
3571,m,1199746973580042244,oxycodone ? i think so🏂
4370,c,1199953067669688320,thankful for adderall and xanax
12845,m,1202437528831299584,omg! you pop adderall even though you don't have adhd! you're so cool! you're even cooler for posting pics!
8950,u,1201338108861657095,Stripes Lyrica
7638,m,1200922231636926465,The best thing I ever heard someone say while they were on Xanax is “I want a chaco taco but I don’t got the cash”
2994,c,1199570938783838208,so last night my dumb ass took my adderall instead of my insomnia meds. guess who still hasn't slept. #failoftheweek
4014,c,1199835910747119621,"tfw your everything autocorrects ""k"" to ""okay"" so your annoyed-ness remains undetected and you just eat clonazepam and go to bed."
7896,m,1200984129392824322,"_U Normal: “just like nicotine, heroine morphine” Radio edit: “just like nicotine, rushing me, touchin me”"
412,c,1198461794811088897,took my normal dose of klonopin this morning after not taking it for days and now i'm high af at work lol 👽👻💊
4373,m,1199953489897623552,"_U We don't need drugs from Across the Border , McKesson will deliver them in the US with government approval as seen on 60 minutes Sun Dec.17,2017 They delivery millions of Oxycontin  pills to a city in West Virginia of a few  hundred people. I suppose you'll say  fake news."
4339,m,1199950017940873216,_U I'd have asked #lauraplummer relative why Omar let her bring c.300 Tramadol into Egypt? He KNEW they were illegal...🤔 #LBC
2224,m,1199238273572442113,_U _U Take a 5 mg Valium!! Calms u down!
2936,m,1199564686729068545,Have you urinated today?Yes?You suffer from Narcolepsy.This causes a total eclipse of the heart.Try Methadone
4536,m,1199987024058572800,"Love me some soccer, but can’t handle Fox’s remote broadcasts with Americans mispronouncing names.  And don’t get me started on Tony Miola, the Valium of soccer play-by-play."
354,m,1198456532679172096,_U That's raw.  Be nice 😂😂😂 Say something before you press the morphine drip... Haha
1707,m,1199134648837844992,You've Probably Tried Xanax If You Get More Than 30% On This Quiz About Hannah Montana.
11572,m,1202091128205565954,oxycodone pills go for $60-$80. fentanyl has shown up in nb but not on gm. dilaudids seized regularly.
9115,c,1201377430352670720,its was a 21 hour drive back thank god for xanax
1403,m,1199077958406815746,"""i'm gonna get subscribed adderall in college"""
1615,m,1199116144550072323,_U _U He just referred to drugs abused as “OxyContin or drugs in #TRADITIONALSENSE . The fuck does THAT MEAN? Does he mean THE ONES HE TAKES???
6593,m,1200660671026941958,"""it feels like i'm on a mixture of adderall and heroin"" 😂😂😂"
1110,m,1199021768574480385,"_U that's not what adderall is used for, i'm 99% sure it's for people with add 💁"
8852,a,1201315388723781632,The first time I took Xanax was the second time I saw Ted Nugent
4852,a,1200127064998891520,guys I popped a vyvanse to clean my room today.   lmao im currently eating daal chawal and netflixing in my brothers room
4617,c,1200003861798440960,does the _U _U have it in their budget to pay for my ativan that i take to not break down on a broken down train
10482,c,1201816571833962496,"but i guess that's what xanax is for, to feel absolutely nothing."
3466,a,1199726811330072577,xanax & moon rock blunts
949,m,1198896511352025088,now they asked what name ends with an x.... xanax dammit!!
7053,m,1200771570496610304,_U _U _U I’ve been in the hospital nursery with babies withdrawing from free Gov’t Methadone. Illegal’s children won’t be permanently disabled because they were put in car seats as the Law demands.
12349,m,1202279125668548610,all the white kids in middle school that would call me a crack head cause i smoked weed once are now addicted to either xanax molly or cocaine
5714,m,1200436482936311809,_U _U _U What Oxycontin r u on LOL
3383,c,1199654950944624642,DAE take seroquel for sleep and have quit
4952,m,1200168319132798976,online pharmacy xanax reviews
744,a,1198734424952754176,"took a xanax once tryna forget someone and here i am now ""xanax queen""  😂😕"
2281,c,1199244695211331585,"_U my guardian is use not in support of.  i take 60mg of duloxetine a day,  on top of 300mg tramadol @ 100th. x  3 doses.  why do you"
9655,m,1201497861973839877,adderall and google
6114,m,1218823528117608448,ativan is to xanax as vyvanse is to adderall
5270,m,1200314962331258880,collab albums & xanax the worst things to happen to the rap game in a long time.
12132,m,1202226799595405312,"_U Gabapentin taken ""as prescribed"" cause Dependence, Tolerance & withdrawals Dr deny PT unsupported mimic acute Benzodiazepines withdrawals"
3538,m,1199743115323674624,I guess you should keep types of meds separate.  My bff just accidentally took a xanax instead of her thyroid med.  Gonna be an interesting work day for sure
10556,m,1201833357425942529,adderall o's
10641,c,1201855265827676161,the comedown from vyvanse is the least fun you'll ever have
545,m,1198473470344138752,"Gotta say, walking straight out of a lovely, relaxing facial and massage yesterday straight on a Dublin street hearing ""OFF THE METHADONE THREE DAYS NOW CLIMBING THE BLOODY WALLS"" really ruined the mood"
8622,a,1201158954711212035,_U thank youu! i had a mocha vodka xanax latte in your honor.
4868,c,1200128768087674881,i'm up at 8 am cleaning my whole room and bathroom. adderall i hate you so much.
5429,m,1200372436648235008,_U Or arm someone with an Ativan dart gun.
480,m,1198467795211767808,oxycodone percocet that a keep her pussy wet
3436,c,1199723527257120773,Adapt & accept B cells Cognitive Dysfunction  Demyelination  Everything changed Fingolimod Gabapentin Help Immune System  Keep it Moving  Loss of sensation Muscle Spasms Neurological  Optic Neuritis Pain Questions & little answers Relapsing Remitting  Secondary Progressive  ...
9208,c,1201395282430308352,"I actually ate breakfast, lunch and dinner yesterday i think the seroquel is working !"
3986,a,1199824701993951236,"i have ~ 60 suboxone strips left how can i wean with them? i am still using but need to stop, my organs are failing me. need 2 get healthy."
4483,m,1199973189482426368,will i our new bbc scotland have new presenters? would love to have methadone mick or isa reading the news.
1597,m,1199106091637981186,"_U _U ""ask your doctor if seroquel is right for you."""
2237,m,1199239608237744134,_U That drugs are seized by customs doesn’t make them illegal outrightly. Doctors prescribe Tramadol for people with severe pains particularly those suffering from arthritis as what not. The seizure could have been for a number of other reasons
10942,a,1201928462484815872,"rah !!! my brighton dealer is shottin uni notes, codeine bottles, study pills, xanax, coke, md, ket, bud and creps !! what a guy!!"
11091,m,1201956910951518208,i'm watching some surf life saving show and ???? i didn't know lifesavers could initiate morphine and gtn and maxalon?? i cant initiate that
7642,m,1200922630540451846,Have difficulty making decisions?Yes?You suffer from Premature Ejaculations.This causes voices in your head.Try Adderall
3417,c,1199667186773766144,"i love when all pharmacies are out of vyvanse bc drs. over prescribe it. some people actually need it for adhd, not energy & weight control😡"
7686,m,1200927561687150593,_U that's crazy. get adderall lol
6685,a,1200683622203895808,need an energy drink or a vyvanse lol whichever i find first
2232,m,1199239019974012928,"Abilify causes compulsive behavior, Risperdal causes man boobs. Fuck it I will just stay crazy."
332,m,1198454442577874944,_U _U question #2 - where are you going to get the morphine based meds? create more jobs & grow opium poppy's inside the us.
10535,u,1201830990395650048,_U _U That Morphine album is excellent
3224,c,1199629928435634183,fuck i wanna b on klonopin or xanax or ssri or something bc im so fucking tired of feeling like this
4201,c,1199922859600166914,This weekends gunna be weird not sure I shid be drinking with antic bioctics tramadol Corine and parectmol 😂
6696,c,1200684597400477698,"_U i'm doing ok, thanks. if it weren't for lyrica, i'd be in a lot more pain. cymbalta helps w burning in hand. hate all the meds"
3895,a,1199806964995428354,"""_U: codeine nodeine wait until you try oxycodone and oxymorphone 😮 like flying with the angel's when it lights your neurons up"
11323,c,1202019018460278785,_U Morphine is my best friend Quinny..hope you’re feeling better soon x
11168,m,1201973224654987275,I put my customers in zero gravity and they said they felt like they just took a Xanax lmao
2080,m,1199199687418494976,what does xanax do anyway? who is normally prescribed them? ppl with anxiety?
2588,m,1199493318511603712,"if any of my followers is an md/do, please consider gabapentin for patients withdrawing from benzodiazepines and/or alcohol. it works."
7462,c,1200881897930448898,took my seroquel can't wait for peace.. quiet.. serenity.. tranquility.. zen
12715,c,1202363579430817792,i cant take ativan bc ill get hallucinations and my anxiety is worse but since they're muscle relaxants i cAN SLEEP
5128,a,1200278271021240321,prob gonna die of an overdose of ativan before i ever actually make it home.
7200,m,1200808143246245888,So you thought Jordan Henderson was going to lift the UCL  as captain???? You on tramadol bro
6823,a,1200718434683760640,"the 5 basic food groups ""its adderall, caffeine, microwave, and sriracha"""
9899,c,1201678579823730688,"took a valium last night and don't remember anything, incl the snaps and messages i apparently sent"
5619,m,1200417430411120640,"Nope. He’s been to the church of Methadone, Eileen !  #corrie"
4342,c,1199950301983326209,"_U I was on ativan 4 a short while 4 panic attacks. I was also on hydrocodone at that time, never had any issues."
7255,m,1200818043124776960,four lokos are just xanax in a bottle
7495,c,1200885580369932300,WTF I took my adderall this morning and all Ive done is watch Trisha Paytas mukbang videos for two hours
9888,a,1201677291954352128,_U Diazepam & vodka... Lots & lots of diazepam & vodka...
566,c,1198475128541200385,_U I've had VERY BAD Anxiety dreams/nightmares every morning for the past 17 days. NOT FUN.  (Pretty sure it's from reducing my Lyrica dose. Hope it stops soon.)
